task_id,annotator_id,task,ground_truth,answer
0,0,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,1,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,2,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,3,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,4,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,5,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,6,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,7,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,8,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,9,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,10,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,11,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,12,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
0,13,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday .",0,0
1,3,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
1,10,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
1,4,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
1,0,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
1,12,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
1,14,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
1,5,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years .",0,0
2,5,"Former UN chief Kofi Annan who helped broker an end to Kenya 's 2007 post - election violence will visit the country this week for talks with President Mwai Kibaki and Prime Minister Raila Odinga , a statement said .",2,1
2,13,"Former UN chief Kofi Annan who helped broker an end to Kenya 's 2007 post - election violence will visit the country this week for talks with President Mwai Kibaki and Prime Minister Raila Odinga , a statement said .",2,1
2,11,"Former UN chief Kofi Annan who helped broker an end to Kenya 's 2007 post - election violence will visit the country this week for talks with President Mwai Kibaki and Prime Minister Raila Odinga , a statement said .",2,1
2,12,"Former UN chief Kofi Annan who helped broker an end to Kenya 's 2007 post - election violence will visit the country this week for talks with President Mwai Kibaki and Prime Minister Raila Odinga , a statement said .",2,1
3,12,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,7,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,14,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,9,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,15,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,5,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,10,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
3,13,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",2,2
4,3,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,9,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,16,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,5,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,0,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,13,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,12,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,17,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,10,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,18,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,11,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,4,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
4,2,"Anne Meacham died from undisclosed causes in Canaan , New York on January 12 , 2006 at the age of 80 .",0,0
5,9,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,17,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,13,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,7,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,15,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,14,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,8,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,2,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,11,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
5,4,"Taco Bell was founded by Glen Bell who first opened a hot dog stand called Bell  's Drive-In in San Bernardino , California in 1946 when he was 23 years old .",3,3
