task_id,annotator_id,answer,ground_truth,task
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A18G2CLYSTENK,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A3A8P4UR9A0DWQ,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A1G94QON7A9K0N,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,ARFAW0SGYEMFL,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A34QZDSTKZ3JO9,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,AHL33DDQX8O6K,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A1FGKIKJYSL1MI,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A2EEL9YYUHL5SK,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A3KN0O7VP8YSZY,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A2SD7GN80U31GW,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A610SH5RY1NG1,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A13I8ASC3JQ04P,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A1PJLZSOUQ4MIL,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3XD2A6FGFN6SOPUCUL7Y9N7ZVXYS9E,A3SDFAOJW87FGP,per:place_of_death,per:place_of_death,"The last prime minister of Rhodesia Ian Smith , who led the country now known as Zimbabwe during a guerilla war against his whites-only government , has died in South Africa , family friends said Tuesday ."
3SV8KD29L4496XZHTASVVPIIT6AKZ5,ARFAW0SGYEMFL,per:place_of_death,per:place_of_death,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years ."
3SV8KD29L4496XZHTASVVPIIT6AKZ5,A610SH5RY1NG1,per:place_of_death,per:place_of_death,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years ."
3SV8KD29L4496XZHTASVVPIIT6AKZ5,A34QZDSTKZ3JO9,per:place_of_death,per:place_of_death,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years ."
3SV8KD29L4496XZHTASVVPIIT6AKZ5,A18G2CLYSTENK,per:place_of_death,per:place_of_death,"Mr. Melvin died of cancer Thursday at his home in the Brentwood section of Los Angeles , said Amalia Melvin , his wife of 64 years ."
